"species" "time" "speed"
"agouti" 0.347476852 0.089090911
"ocelot" 0.852939815 0.300000012
"agouti" 0.529849537 0.089999999
"agouti" 0.72630787 0.254999995
"agouti" 0.287094907 0.071666668
"coati" 0.456064815 0.059999999
"agouti" 0.573009259 0.169999997
"peccary" 0.73375 0.084444443
"paca" 0.185243056 0.111428567
"peccary" 0.320972222 1.549999952
"agouti" 0.623923611 0.400000016
"peccary" 0.273206019 0.949999988
"agouti" 0.702777778 0.693333308
"ocelot" 0.944143519 0.580000003
"opossum" 0.021099537 0.150000006
"agouti" 0.449351852 0.072499998
"agouti" 0.261770833 0.300000012
"tamandua" 0.086087963 0.600000024
"coati" 0.351099537 0.173333327
"agouti" 0.689895833 0.324999988
"rat" 0.945509259 0.151666671
"peccary" 0.703043981 0.899999976
"squirrel" 0.458090278 0.073333333
"agouti" 0.321921296 0.335000008
"agouti" 0.262928241 0.36500001
"coati" 0.650289352 0.266666671
"rat" 0.016701389 0.153333336
"agouti" 0.697523148 0.474999994
"agouti" 0.536226852 0.326666673
"agouti" 0.482465278 0.168750003
"agouti" 0.304594907 0.899999976
"agouti" 0.357673611 0.656666676
"rat" 0.887002315 0.300000012
"rat" 0.860358796 0.081666668
"agouti" 0.308020833 0.24000001
"rat" 0.164814815 0.449999988
"rat" 0.049305556 0.111428567
"opossum" 0.12275463 0.314999998
"agouti" 0.293206019 0.125714285
"agouti" 0.595752315 0.186666667
"brocket" 0.267002315 0.194999993
"squirrel" 0.493368056 0.220000009
"agouti" 0.432523148 0.24666667
"ocelot" 0.843009259 0.220000009
"paca" 0.883564815 0.224999994
"ocelot" 0.725150463 0.193333328
"agouti" 0.3528125 0.28599999
"agouti" 0.614444444 0.720000029
"rat" 0.073252315 0.220000005
"peccary" 0.358020833 0.152222223
"peccary" 0.276979167 0.090000004
"agouti" 0.659375 0.135000002
"agouti" 0.258518519 0.360000014
"mouse" 0.035520833 0.150000006
"agouti" 0.352893519 0.209999993
"brocket" 0.717708333 0.214285714
"agouti" 0.432060185 0.323333343
"paca" 0.909259259 0.061428572
"agouti" 0.253321759 0.238571422
"rat" 0.198391204 0.033333334
"rat" 0.954722222 0.150000006
"rat" 0.957569444 0.133333335
"rat" 0.19994213 0.200000003
"agouti" 0.75306713 0.200000008
"agouti" 0.579791667 0.150000006
"agouti" 0.472152778 0.200000003
"agouti" 0.310763889 0.299999992
"coati" 0.637881944 0.25
"peccary" 0.813530093 0.333333333
"coati" 0.346886574 0.275000006
"peccary" 0.224201389 0.366666675
"coati" 0.557777778 0.300000012
"agouti" 0.554340278 0.279999995
"agouti" 0.566805556 0.3
"tamandua" 0.49537037 0.375
"agouti" 0.311597222 0.425000012
"agouti" 0.339884259 0.425000012
"agouti" 0.305856481 0.474999994
"armadillo" 0.878831019 1.100000024
"peccary" 0.730497685 0.550000012
"coati" 0.541863426 0.574999988
"paca" 0.070046296 0.766666651
"agouti" 0.811712963 0.866666635
"agouti" 0.672060185 0.675000012
"peccary" 0.936030093 0.029999999
"paca" 0.020289352 0.383333325
"peccary" 0.338668981 0.283333341
"ocelot" 0.286875 0.125
"agouti" 0.26505787 0.419999987
"brocket" 0.649884259 0.07222222
"agouti" 0.529884259 0.346666654
"tamandua" 0.376331019 0.27692307
"agouti" 0.53974537 0.262499988
"brocket" 0.285347222 0.195714286
"paca" 0.168969907 0.180000007
"agouti" 0.745046296 1.125
"peccary" 0.629652778 0.300000012
"paca" 0.06275463 0.127142855
"agouti" 0.430023148 0.062222222
"agouti" 0.592893519 0.360000014
"agouti" 0.297789352 0.166666667
